Sl. No.,Path,Agebucket,Agewt,ECG-0,ECG-1,BM-0,BM-1,CP-0,CP-1,CP-2,DB-0,DB-1,PFH-0,PFH-1,CHOL-0,CHOL-1,SCORE,Max-Score
189,Path-2,36-40,0.049,0.000,0.785,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.500,0.000,2.652,
190,Path-2,36-40,0.049,0.000,0.785,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.000,0.500,2.652,
191,Path-2,36-40,0.049,0.000,0.785,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.500,0.000,2.286,
192,Path-2,36-40,0.049,0.000,0.785,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.000,0.500,2.286,
193,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.500,0.000,2.970,
194,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.000,0.500,2.970,
195,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.500,0.000,2.604,
196,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.000,0.500,2.604,
197,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.500,0.000,3.198,
198,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.000,0.500,3.198,
199,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.500,0.000,2.832,
200,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.000,0.500,2.832,
201,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.500,0.000,3.828,
202,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.000,0.500,3.828,
203,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.500,0.000,3.462,
204,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.000,0.500,3.462,
205,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.500,0.000,4.056,
206,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.000,0.500,4.056,
207,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.500,0.000,3.690,
208,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.000,0.500,3.690,
209,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.500,0.000,2.929,
210,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.000,0.500,2.929,
211,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.500,0.000,2.563,
212,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.000,0.500,2.563,
213,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.500,0.000,3.157,
214,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.000,0.500,3.157,
215,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.500,0.000,2.791,
216,Path-3,41-45,0.126,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.000,0.500,2.791,
217,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.500,0.000,1.972,
218,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.000,0.500,1.972,
219,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.500,0.000,1.606,
220,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.000,0.500,1.606,
221,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.500,0.000,2.200,
222,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.000,0.500,2.200,
223,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.500,0.000,1.834,
224,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.000,0.500,1.834,
225,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.500,0.000,2.830,
226,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.000,0.500,2.830,
227,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.500,0.000,2.464,
228,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.000,0.500,2.464,
229,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.500,0.000,3.058,
230,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.000,0.500,3.058,
231,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.500,0.000,2.692,
232,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.000,0.500,2.692,
233,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.500,0.000,1.931,
234,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.000,0.500,1.931,
235,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.500,0.000,1.565,
236,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.000,0.500,1.565,
237,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.500,0.000,2.159,
238,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.000,0.500,2.159,
239,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.500,0.000,1.793,
240,Path-3,41-45,0.126,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.000,0.500,1.793,
241,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.500,0.000,3.540,
242,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.000,0.500,3.540,
243,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.500,0.000,3.174,
244,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.000,0.500,3.174,
245,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.500,0.000,3.768,
246,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.000,0.500,3.768,
247,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.500,0.000,3.402,
248,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.000,0.500,3.402,
249,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.500,0.000,4.398,
250,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.000,0.500,4.398,
251,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.500,0.000,4.032,
252,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.000,0.500,4.032,
253,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.500,0.000,4.626,
254,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.000,0.500,4.626,
255,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.500,0.000,4.260,
256,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.000,0.500,4.260,
257,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.500,0.000,3.499,
258,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.000,0.500,3.499,
259,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.500,0.000,3.133,
260,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.000,0.500,3.133,
261,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.500,0.000,3.727,
262,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.000,0.500,3.727,
263,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.500,0.000,3.361,
264,Path-3,41-45,0.126,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.000,0.500,3.361,
265,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.500,0.000,2.542,
266,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.000,0.500,2.542,
267,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.500,0.000,2.176,
268,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.000,0.500,2.176,
269,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.500,0.000,2.770,
270,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.000,0.500,2.770,
271,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.500,0.000,2.404,
272,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.000,0.500,2.404,
273,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.500,0.000,3.400,
274,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.000,0.500,3.400,
275,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.500,0.000,3.034,
276,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.000,0.500,3.034,
277,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.500,0.000,3.628,
278,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.000,0.500,3.628,
279,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.500,0.000,3.262,
280,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.000,0.500,3.262,
281,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.500,0.000,2.501,
282,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.000,0.500,2.501,
283,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.500,0.000,2.135,
284,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.000,0.500,2.135,
285,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.500,0.000,2.729,
286,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.000,0.500,2.729,
287,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.500,0.000,2.363,
288,Path-3,41-45,0.126,0.000,0.785,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.000,0.500,2.363,
289,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.500,0.000,2.998,
290,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.000,0.500,2.998,
291,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.500,0.000,2.632,
292,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.000,0.500,2.632,
293,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.500,0.000,3.226,
294,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.000,0.500,3.226,
295,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.500,0.000,2.860,
296,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.000,0.500,2.860,
297,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.500,0.000,3.856,
298,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.000,0.500,3.856,
299,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.500,0.000,3.490,
300,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.000,0.500,3.490,
301,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.500,0.000,4.084,
302,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.000,0.500,4.084,
303,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.500,0.000,3.718,
304,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.000,0.500,3.718,
305,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.500,0.000,2.957,
306,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.000,0.500,2.957,
307,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.500,0.000,2.591,
308,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.000,0.500,2.591,
309,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.500,0.000,3.185,
310,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.000,0.500,3.185,
311,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.500,0.000,2.819,
312,Path-4,46-50,0.154,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.000,0.500,2.819,
313,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.500,0.000,2.000,
314,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.000,0.500,2.000,
315,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.500,0.000,1.634,
316,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.000,0.500,1.634,
317,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.500,0.000,2.228,
318,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.000,0.500,2.228,
319,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.500,0.000,1.862,
320,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.000,0.500,1.862,
321,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.500,0.000,2.858,
322,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.000,0.500,2.858,
323,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.500,0.000,2.492,
324,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.000,0.500,2.492,
325,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.500,0.000,3.086,
326,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.000,0.500,3.086,
327,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.500,0.000,2.720,
328,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.000,0.500,2.720,
329,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.500,0.000,1.959,
330,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.000,0.500,1.959,
331,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.500,0.000,1.593,
332,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.000,0.500,1.593,
333,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.500,0.000,2.187,
334,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.000,0.500,2.187,
335,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.500,0.000,1.821,
336,Path-4,46-50,0.154,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.000,0.500,1.821,
337,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.500,0.000,3.568,
338,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.000,0.500,3.568,
339,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.500,0.000,3.202,
340,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.000,0.500,3.202,
341,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.500,0.000,3.796,
342,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.000,0.500,3.796,
343,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.500,0.000,3.430,
344,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.000,0.500,3.430,
345,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.500,0.000,4.426,
346,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.000,0.500,4.426,
347,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.500,0.000,4.060,
348,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.000,0.500,4.060,
349,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.500,0.000,4.654,
350,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.000,0.500,4.654,
351,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.500,0.000,4.288,
352,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.000,0.500,4.288,
353,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.500,0.000,3.527,
354,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.000,0.500,3.527,
355,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.500,0.000,3.161,
356,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.000,0.500,3.161,
357,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.500,0.000,3.755,
358,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.000,0.500,3.755,
359,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.500,0.000,3.389,
360,Path-4,46-50,0.154,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.000,0.500,3.389,
361,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.500,0.000,2.570,
362,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.000,0.500,2.570,
363,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.500,0.000,2.204,
364,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.000,0.500,2.204,
365,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.500,0.000,2.798,
366,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.000,0.500,2.798,
367,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.500,0.000,2.432,
368,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.000,0.500,2.432,
369,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.500,0.000,3.428,
370,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.000,0.500,3.428,
371,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.500,0.000,3.062,
372,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.000,0.500,3.062,
373,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.500,0.000,3.656,
374,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.000,0.500,3.656,
375,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.500,0.000,3.290,
376,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.000,0.500,3.290,
377,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.500,0.000,2.529,
378,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.000,0.500,2.529,
379,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.500,0.000,2.163,
380,Path-4,46-50,0.154,0.000,0.785,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.000,0.500,2.163,
